sy_name,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
"Kepler-426",0.98,,,,4.50,2.700,
"HD 10697",,,,,,,
"Kepler-330",,-0.097,"[Fe/H]",,4.74,,
"Kepler-45",,,,,,,
"Kepler-1013",0.81,0.040,"[Fe/H]",,4.59,4.270,
"GJ 676",,,,,,,
"HATS-37",0.65,,,-0.921,4.62,11.460,
"Kepler-1022",,-0.441,"[Fe/H]",,4.58,,
"Kepler-1022",0.61,,,,4.70,13.900,
"MOA-2013-BLG-605L",0.02,,,,,,
"HATS-55",,,,0.116,,,
"Kepler-397",0.78,-0.280,"[Fe/H]",,4.57,,10.8582
"Kepler-1408",1.07,-0.140,"[Fe/H]",,4.28,,0.2768
"Kepler-650",,0.131,"[M/H]",,,,
"Kepler-1705",0.84,-0.520,"[Fe/H]",,4.59,,0.8202
"Kepler-477",,-0.422,"[M/H]",,,,
"Kepler-636",,-1.447,"[Fe/H]",,4.79,,
"OGLE-2019-BLG-1492L",0.68,,,,,,
"OGLE-2017-BLG-1140L",0.21,,,,,,
"Kepler-1010",0.86,,,-0.412,4.58,,2.4565
"Kepler-1964",0.75,-0.080,"[Fe/H]",,4.62,,0.4313
"Kepler-1456",0.59,-0.300,"[Fe/H]",,4.65,,3.3090
"Kepler-1896",1.08,,,0.174,4.35,,0.9843
"HD 73526",1.14,0.220,"[Fe/H]",,4.12,,
"HD 139357",1.35,-0.130,"[Fe/H]",,2.90,,
"Kepler-620",0.93,-0.540,"[Fe/H]",,4.41,,0.0412
"Kepler-1154",,,,,,,
"Kepler-1872",0.91,0.320,"[Fe/H]",,4.50,,10.7818
"Kepler-1889",1.12,,,0.220,4.35,,0.9667
"Kepler-1091",,-0.505,"[Fe/H]",,4.67,,
"Kepler-671",0.93,,,,4.57,0.500,
"GJ 687",,,,,,,
"Kepler-476",0.95,,,,4.45,5.400,
"Kepler-491",,,,,4.32,,
"Kepler-1361",0.76,,,,4.54,13.900,
"Kepler-62",0.64,-0.460,"[Fe/H]",,4.61,,4.5533
"Kepler-1849",0.69,,,,4.63,13.500,
"HD 222237",0.48,-0.380,"[Fe/H]",-0.666,4.37,,
"HD 222237",,,,,,,
"HD 222237",0.76,-0.317,"[M/H]",-0.636,4.62,,3.0013
"HD 222237",,,,,,,
"HD 222237",0.74,,,,4.63,5.280,
"HD 222237",0.74,-0.290,"[Fe/H]",-0.620,4.63,8.800,
"HD 222237",0.76,-0.320,"[Fe/H]",,4.61,,
"HD 222237",,,,,,,
"HD 222237",,,,,,,
"HD 222237",,,,,,,
"Kepler-1100",1.10,,,,4.46,0.400,
"Kepler-619",1.07,,,,4.49,0.400,
"Kepler-671",0.91,-0.160,"[Fe/H]",,4.56,,1.4061
"Kepler-1993",,,,,,,
"HD 134060",1.09,0.140,"[Fe/H]",0.160,4.43,,
"Kepler-1171",1.65,,,,3.96,1.460,
"Kepler-462",1.97,0.070,"[Fe/H]",,3.89,,0.7430
"Kepler-656",,,,,,,
"Kepler-1312",,,,,,,
"Kepler-1321",0.59,,,,4.65,,
"Kepler-724",0.91,0.221,"[M/H]",-0.223,4.47,,1.6329
"Kepler-967",,,,-0.718,,,
"Kepler-199",,,,,4.32,,
"Kepler-1360",1.10,,,,4.47,0.300,
"HATS-71",,,,-1.529,,,
"Kepler-122",1.03,-0.200,"[Fe/H]",,4.50,,0.0482
"Kepler-489",,0.003,"[Fe/H]",,4.38,,
"Kepler-504",0.39,-0.100,"[Fe/H]",,4.89,,4.8047
"Kepler-825",,,,,,,
"HD 156411",,,,,,,
"Kepler-418",,-0.133,"[Fe/H]",,4.42,,
"Kepler-1396",1.11,,,,4.46,0.260,
"Kepler-765",0.94,-0.320,"[Fe/H]",,4.40,,0.8487
"Kepler-1096",0.70,0.258,"[M/H]",-0.840,4.68,,3.8907
"HD 99492",,,,,,,
"Kepler-334",,,,,,,
"Kepler-1343",1.07,-0.160,"[Fe/H]",,4.46,,3.8625
"Kepler-1813",,-0.223,"[Fe/H]",,4.61,,
"Kepler-1625",,-0.265,"[Fe/H]",,4.53,,
"GJ 422",0.36,,,-1.768,4.85,,9.9279
"Kepler-1022",,,,,4.75,,
"Kepler-1416",,-0.107,"[Fe/H]",,4.26,,
"Kepler-235",0.51,-0.360,"[Fe/H]",,4.78,,2.2437
"Kepler-1043",1.04,,,,4.51,0.400,
"Kepler-1886",0.92,-0.220,"[Fe/H]",,4.56,,1.6574
"Kepler-1801",0.94,-0.060,"[Fe/H]",,4.43,,0.6233
"Kepler-1123",,,,,,,
"GJ 649",,,,,,,
"Kepler-1309",0.85,-0.030,"[Fe/H]",,4.56,4.270,
"Kepler-598",0.90,0.030,"[M/H]",-0.258,4.48,,1.7387
"Kepler-1594",,,,-0.020,,,
"Kepler-208",,,,,4.26,,
"Kepler-614",0.85,-0.070,"[Fe/H]",,4.55,4.790,
"HIP 78530",2.50,,,,,0.010,
"Kepler-1315",0.67,,,,4.64,14.000,
"Kepler-1145",0.74,,,,4.57,,
"Kepler-1247",,,,,,,
"HD 160691",,,,,,,
"Kepler-154",,,,,4.42,,
"Kepler-32",,,,,4.74,,
"Kepler-1431",1.05,0.020,"[Fe/H]",,4.43,,0.7141
"HD 4203",,,,,,,
"Kepler-892",,,,,,,
"Kepler-498",,,,,,,
"Kepler-767",,,,,4.57,,
"Kepler-876",0.84,,,-0.338,4.46,,1.6546
"Kepler-684",,-0.818,"[Fe/H]",,4.80,,
"Kepler-407",0.96,0.340,"[M/H]",-0.039,4.37,,1.1442
"Kepler-549",0.85,,,,4.50,8.600,
"Kepler-545",,,,,4.55,,
"Kepler-701",,0.025,"[Fe/H]",,4.47,,
"2MASS J04414489+2301513",0.20,,,-2.444,5.01,,22.7811
