sy_name,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens
"Kepler-1883",,,,,,,
"Kepler-1073",0.91,-0.240,"[Fe/H]",,4.56,,0.9585
"Kepler-1915",1.03,-0.060,"[Fe/H]",,4.41,,1.8417
"Kepler-281",0.94,,,,4.57,0.600,
"GJ 414",,,,,,,
"Kepler-184",0.87,-0.340,"[Fe/H]",,4.51,,1.5794
"Kepler-1643",,,,-0.522,,,
"Kepler-1481",,,,,,,
"Kepler-199",,-0.157,"[Fe/H]",,4.31,,
"Kepler-1242",,,,,,,
"Kepler-69",,,,,,,
"HD 1666",,,,,,,
"Kepler-686",1.01,,,,4.48,2.000,
"Kepler-1267",0.97,0.100,"[Fe/H]",,4.55,,1.5300
"Kepler-411",,,,,4.59,,
"Kepler-107",1.18,,,,4.37,2.300,
"HD 218566",,,,,,,
"Kepler-1824",,,,,,,
"Kepler-890",1.03,,,0.327,4.12,,0.4706
"Kepler-795",0.90,-0.040,"[Fe/H]",,4.40,,1.9331
"Kepler-188",,,,,4.37,,
"Kepler-1127",,,,,4.64,,
"HD 218566",0.86,0.170,"[Fe/H]",,4.09,,
"HD 49674",1.00,0.250,"[Fe/H]",,,,
"Kepler-910",1.22,,,,4.30,,
"Kepler-1382",,,,,,,
"Kepler-282",,,,,4.56,,
"Kepler-318",1.11,0.160,"[Fe/H]",,4.15,,2.1145
"Kepler-290",0.84,-0.060,"[Fe/H]",,4.60,,3.7950
"HD 10647",1.20,0.000,"[Fe/H]",0.168,4.62,,
"HD 147379",,,,,,,
"Kepler-1934",,,,,,,
"HIP 64797 A",,,,,,,
"Kepler-1222",,,,,,,
"Kepler-1050",,,,,,,
"Kepler-1075",0.55,,,,4.74,13.800,
"Kepler-1164",,,,,,,
"GJ 338",,,,,,,
"Kepler-675",0.76,,,,4.66,1.800,
"HD 141004",,,,,,,
"Kepler-1227",,,,,,,
"Kepler-1215",,,,,,,
"2MASS J01225093-2439505",0.40,,,-1.720,,0.120,
"Kepler-1247",0.92,,,-0.345,4.61,,2.6382
"Kepler-1392",1.04,,,,4.59,,
"Kepler-1313",,,,-0.329,,,
"HD 145377",,,,,,,
"HD 40307",0.77,-0.310,"[Fe/H]",-0.642,4.47,,
"Kepler-1807",,-0.360,"[Fe/H]",,4.12,,
"HD 177830",1.91,,,,3.91,3.240,
"Kepler-1626",1.42,,,0.611,4.24,,0.5924
"Kepler-1032",,,,,,,
"Kepler-924",,-0.297,"[Fe/H]",,4.45,,
"Kepler-774",,-0.429,"[Fe/H]",,4.54,,
"Kepler-1907",0.75,-0.160,"[Fe/H]",,4.51,,0.0855
"GJ 15",,,,,,,
"HD 212771",,,,,,,
"Kepler-1094",,,,,,,
"Kepler-1840",,,,,4.59,,
"Kepler-83",0.66,,,,4.69,6.100,
"Kepler-1308",,,,,,,
"Kepler-363",,,,,,,
"HD 134987",1.08,0.300,"[Fe/H]",,4.36,,
"GJ 9689",0.59,0.050,"[Fe/H]",-1.200,4.69,8.900,
"Kepler-1047",0.98,0.220,"[M/H]",0.424,3.94,,0.2574
"Kepler-338",1.09,-0.080,"[Fe/H]",,4.02,,0.3062
"Kepler-330",0.79,,,,4.65,0.700,
"HD 11755",,,,,,,
"Kepler-971",1.01,,,,3.95,9.600,
"Kepler-1045",,,,-0.344,,,
"Kepler-658",,,,,,,
"Kepler-1711",,,,,4.38,,
"Kepler-177",1.07,-0.100,"[Fe/H]",,4.41,,0.5642
"Kepler-184",0.95,-0.196,"[M/H]",-0.225,4.54,,2.0362
"70 Vir",,,,,,,
"Kepler-1129",,,,,,,
"Kepler-1956",0.67,0.040,"[Fe/H]",,4.60,,7.8756
"Kepler-1571",,,,,,,
"Kepler-1089",,,,,,,
"Kepler-931",,,,,,,
"Kepler-183",1.04,0.020,"[Fe/H]",,4.50,,4.4543
"Kepler-1812",,,,,,,
"Kepler-1119",0.97,,,,4.44,,
"Kepler-1214",0.79,-0.060,"[Fe/H]",,4.48,,12.5622
"HD 134060",,,,,,,
"HD 220074",2.20,-0.250,"[Fe/H]",,1.30,,
"Kepler-1684",0.63,,,,4.69,,
"Kepler-295",0.80,-0.340,"[Fe/H]",,4.45,,0.0392
"GJ 581",,,,,,,
"Kepler-1966",0.67,-0.540,"[Fe/H]",,4.63,,3.5675
"HD 109749",,,,,,,
"HN Peg",,,,,,,
"Kepler-1363",0.73,-0.060,"[Fe/H]",,4.54,,2.9922
"Kepler-1205",0.87,,,,4.42,,
"61 Vir",,,,,,,
"Kepler-584",,0.009,"[Fe/H]",,4.58,,
"Kepler-505",,,,,4.72,,
"Kepler-1353",0.78,0.200,"[Fe/H]",,4.52,,3.0424
"Kepler-1825",,,,,4.55,,
"Kepler-1490",,,,,,,
"Kepler-160",,,,,,,
"Kepler-1665",0.75,-0.140,"[Fe/H]",,4.52,,11.2926
"Kepler-199",,,,,,,
"WTS-1",,,,0.088,,,
"HD 23079",,,,,,,
"Kepler-926",,,,,,,
"Kepler-1050",1.04,-0.080,"[Fe/H]",,4.41,,0.9270
"KOI-3680",,-0.081,"[Fe/H]",,4.71,,
"18 Del",,,,,,,
"Kepler-130",,,,,,,
"Kepler-1861",,,,,4.41,,
"Kepler-441",,,,,,,
"Kepler-1160",,,,,,,
"TOI-1411",0.65,,,-0.882,4.57,,2.7941
"Kepler-1907",,,,,,,
"Kepler-1218",,,,,,,
"Kepler-686",,,,,4.32,,
"Kepler-341",,,,,,,
"Kepler-1453",0.97,0.010,"[Fe/H]",,4.48,4.270,
"HD 168443",0.99,0.040,"[Fe/H]",,4.07,,
"Kepler-780",,,,,4.37,,
"Kepler-635",1.19,0.120,"[Fe/H]",,4.20,,0.3205
"Kepler-1722",0.90,,,,4.58,1.400,
"Kepler-1113",,,,0.066,,,
"Kepler-999",1.29,0.050,"[Fe/H]",,4.11,3.090,
"Kepler-864",,,,,,,
"Kepler-369",0.47,,,,4.55,,
"Kepler-668",,,,,4.64,,
"Kepler-218",,,,,4.40,,
"Kepler-891",,,,,4.51,,
"Kepler-788",1.15,0.085,"[M/H]",0.336,4.26,,0.7164
"Kepler-1894",1.00,0.000,"[Fe/H]",,4.53,,3.4095
"Kepler-1070",1.15,,,,4.34,,
"Kepler-1410",0.56,,,,4.73,13.900,
"Kepler-357",0.79,,,-0.556,4.60,,2.7449
"tau Cet",,,,,,,
"HD 95089",1.58,0.050,"[Fe/H]",1.130,3.40,2.500,
"Kepler-1096",,,,-0.823,,,
"GJ 887",,,,,,,
"Kepler-107",1.14,0.270,"[Fe/H]",,4.19,,0.2310
"HD 203030",,0.300,"[Fe/H]",,4.64,,
"Kepler-1816",0.79,-0.240,"[Fe/H]",,4.63,,7.2820
"Kepler-1557",,-0.057,"[Fe/H]",,4.63,,
"Kepler-1149",,,,,4.54,,
"HATS-8",0.98,,,0.028,4.33,,0.9956
"Kepler-1613",,-0.181,"[Fe/H]",,4.27,,
"Kepler-541",,-0.121,"[Fe/H]",,4.30,,
"Kepler-235",,,,-1.093,,,
"Kepler-1236",,,,,,,
"Kepler-21",1.24,-0.120,"[Fe/H]",,4.03,3.550,
"HD 7924",0.83,,,,4.59,0.880,
"GJ 180",,,,,,,
"Kepler-224",,,,,,,
"Kepler-1239",1.09,,,,4.52,,
"HD 111998",,,,,,,
"Kepler-61",0.57,-0.020,"[M/H]",,,,
"Kepler-1552",,,,,,,
"Kepler-1523",,0.036,"[Fe/H]",,4.59,,
"Kepler-260",,-0.034,"[Fe/H]",,4.92,,
"iot Dra",1.05,,,,,,
"Kepler-380",,,,,,,
"HD 218566",0.76,0.280,"[Fe/H]",,4.46,,
"Kepler-1184",1.08,-0.220,"[Fe/H]",,4.45,,0.8758
"HD 89307",,,,,,,
"Kepler-1224",1.13,,,,4.42,1.110,
"Kepler-205",,,,,,,
"Kepler-46",,,,,,,
"Kepler-1129",0.97,-0.380,"[Fe/H]",,4.41,,3.7410
"Kepler-1440",,,,,,,
"HD 169830",,,,,,,
"Kepler-839",,-0.021,"[Fe/H]",,4.40,,
"Kepler-1760",0.98,0.210,"[Fe/H]",,4.56,,6.8745
"Kepler-1267",0.99,,,,4.59,,
"HATS-49",0.71,0.208,"[Fe/H]",-0.785,4.60,10.500,2.9610
"Kepler-1205",,,,-0.429,,,
"NGTS-11",,,,-0.395,,,
"Kepler-1346",1.14,0.040,"[Fe/H]",,4.33,3.090,
"Kepler-1484",,-0.305,"[Fe/H]",,4.49,,
"Kepler-1440",,-0.158,"[Fe/H]",,4.35,,
"omi UMa",3.09,,,2.140,,,
"Kepler-1960",1.08,-0.260,"[Fe/H]",,4.44,,0.7626
"Kepler-716",0.83,-0.120,"[Fe/H]",,4.60,,2.2726
"Kepler-154",,-0.391,"[Fe/H]",,4.66,,
"Kepler-1414",0.92,,,,3.83,14.000,
"Kepler-1354",1.16,0.030,"[Fe/H]",,4.31,2.950,
"HD 210702",,0.120,"[M/H]",,,,
"HD 13189",1.17,-0.390,"[Fe/H]",,1.83,,
"Kepler-1095",0.99,-0.200,"[Fe/H]",,4.52,,3.1891
"Kepler-1558",,,,,,,
"Kepler-170",1.08,0.440,"[Fe/H]",,4.48,,2.0854
"Kepler-1739",1.02,,,-0.140,4.57,,2.1707
"Kepler-152",0.85,-0.140,"[Fe/H]",,4.60,,2.3073
"KOI-2513",,-0.489,"[M/H]",,,,
"Kepler-812",1.40,,,,4.28,0.790,
"Kepler-629",,,,,,,
"Kepler-1778",1.21,0.070,"[Fe/H]",,4.41,,2.6837
"Kepler-217",,,,,,,
"Kepler-959",,,,,4.29,,
"Kepler-1753",0.85,0.020,"[Fe/H]",,4.59,,2.1992
"Kepler-100",1.08,0.020,"[Fe/H]",,4.12,,0.7863
"Kepler-254",,,,,,,
"Kepler-415",0.67,-0.180,"[Fe/H]",,4.65,,3.9342
"Kepler-1791",0.97,-0.360,"[Fe/H]",,4.29,,12.8703
"Kepler-1201",,,,-0.024,,,
"Kepler-1035",,-0.702,"[Fe/H]",,4.47,,
"Kepler-643",1.29,,,,3.67,,
"Kepler-1133",0.93,,,,4.57,0.700,
"Kepler-1924",1.02,0.160,"[Fe/H]",,4.23,,0.1899
"Kepler-743",,-0.345,"[Fe/H]",,4.56,,
"Kepler-344",,,,,4.45,,
"Kepler-1453",,0.037,"[Fe/H]",,4.82,,
"tau Boo",,0.230,"[Fe/H]",,4.51,,
"Kepler-1477",,-0.135,"[Fe/H]",,4.38,,
"Kepler-446",0.40,0.100,"[Fe/H]",,4.87,3.720,
"Kepler-1016",,,,,,,
"Kepler-1652",,,,,4.73,,
"Kepler-1220",,,,,,,
"Kepler-210",,,,,4.71,,
"Kepler-1724",1.07,,,,4.49,0.300,
"Kepler-546",0.98,-0.020,"[Fe/H]",,4.27,,1.7023
"Kepler-1247",,,,,4.58,,
"BD+48 740",1.09,-0.130,"[Fe/H]",1.640,2.48,,
"Kepler-322",,,,,,,
"Kepler-1843",,,,,3.97,,
"Kepler-324",,-0.009,"[Fe/H]",,4.66,,
"Kepler-1194",0.85,,,,4.33,,
"Kepler-1289",,-0.267,"[Fe/H]",,4.67,,
"Kepler-935",,0.330,"[Fe/H]",,4.27,,
"Kepler-1840",,0.045,"[Fe/H]",,4.42,,
"Kepler-1674",0.94,-0.120,"[Fe/H]",,4.56,,0.5742
"iot Dra",,0.089,"[M/H]",,,,
"Kepler-1859",1.09,0.160,"[Fe/H]",,4.29,,0.4413
"Kepler-293",,,,,,,
"KIC 5437945",1.03,-0.380,"[Fe/H]",,4.16,,0.3202
"Kepler-1308",0.49,,,,4.76,13.800,
"Kepler-1218",,,,,4.30,,
"Kepler-1540",0.73,0.160,"[Fe/H]",,4.56,,21.5909
"Kepler-631",1.18,,,,4.42,0.240,
"Kepler-1383",1.13,0.080,"[Fe/H]",,4.18,,0.3795
"Kepler-791",1.30,0.060,"[Fe/H]",,4.21,2.240,
"Kepler-271",0.84,-0.200,"[Fe/H]",,4.50,,2.1963
"Kepler-1630",,,,,,,
"Kepler-229",0.83,-0.120,"[Fe/H]",,4.61,,3.6660
"Kepler-445",0.21,,,,4.90,,
"Kepler-1466",1.00,-0.260,"[Fe/H]",,4.51,,3.7435
"HD 98736",,,,,,,
"Kepler-92",1.21,0.170,"[Fe/H]",,4.05,,0.3209
"HD 145377",,,,,,,
"KOI-7368",,,,,,,
"Kepler-1503",0.76,-0.440,"[Fe/H]",,4.62,,1.8947
"HD 95089",1.38,,,,,,
"Kepler-1955",,,,,,,
"Kepler-679",0.81,-0.420,"[Fe/H]",,4.59,,0.4993
"Kepler-1340",,-0.085,"[Fe/H]",,4.67,,
"Kepler-1158",1.13,,,,4.28,,
"Kepler-1315",0.67,,,,4.64,14.000,
"Kepler-209",0.93,,,,4.41,9.300,
"Kepler-516",,,,,,,
"Kepler-288",,,,,,,
"Kepler-355",,,,,,,
"Kepler-719",,,,,4.62,,
"Kepler-884",,,,,,,
"Kepler-1025",,,,0.271,,,
"Kepler-194",0.99,0.160,"[Fe/H]",,4.12,,1.2153
"Kepler-104",,,,,4.41,,
"Kepler-263",0.83,-0.100,"[Fe/H]",,4.57,,18.4817
"Kepler-1176",0.83,,,,4.63,,
"Kepler-607",,,,-0.389,,,
"Kepler-126",1.19,-0.140,"[Fe/H]",,4.25,,0.3236
"Kepler-126",1.19,-0.140,"[Fe/H]",,4.25,,0.4062
"Kepler-1683",0.88,,,,4.36,,
"Kepler-1273",1.00,,,,4.52,,
"KOI-1599",1.02,,,,,,
"Kepler-329",,,,,,,
"Kepler-634",1.03,-0.420,"[Fe/H]",,4.38,,0.3817
"Kepler-1330",0.91,,,,4.50,5.500,
"Kepler-122",1.08,-0.060,"[Fe/H]",,4.35,3.890,
"Kepler-1085",1.12,0.070,"[Fe/H]",,4.48,,1.6224
"Kepler-936",,,,,,,
"Kepler-196",,,,,,,
"Kepler-1099",,,,,,,
"Kepler-621",0.58,-0.030,"[Fe/H]",,4.71,,2.2054
"Kepler-684",,,,0.178,,,
"Kepler-148",,,,,,,
"HD 153950",,,,0.344,,,
"Kepler-823",0.98,,,0.335,4.03,,0.3502
"DH Tau",,,,-0.569,,,
"Kepler-1498",0.93,0.180,"[Fe/H]",,4.08,,0.7862
"Kepler-1667",1.09,-0.100,"[Fe/H]",,4.18,,0.6905
"Kepler-1521",,0.121,"[Fe/H]",,3.90,,
"Kepler-271",,,,,4.62,,
"Kepler-1099",,,,-0.131,,,
"HD 153950",,,,,,,
"Kepler-1080",1.13,,,,4.34,,
"Kepler-690",,,,,4.47,,
"Kepler-382",,,,,,,
"Kepler-1920",1.06,0.051,"[M/H]",0.100,4.39,,1.1734
"HD 4208",,-0.320,"[N/H]",,4.41,,
"Kepler-1750",,,,,4.54,,
"Kepler-1303",0.98,,,,4.55,0.400,
"HIP 19976",0.67,,,,,,
"Kepler-988",,0.033,"[Fe/H]",,4.47,,
"HD 19994",1.37,0.240,"[Fe/H]",,4.19,,
"Kepler-1125",0.98,,,,4.55,0.400,
"Kepler-240",0.75,,,,4.67,0.900,
"Kepler-1484",,,,,,,
"GJ 1148",,,,,,,
"TOI-1694",0.85,0.131,"[Fe/H]",-0.418,4.56,4.300,2.3008
"Kepler-1756",0.74,-0.080,"[Fe/H]",,4.54,,0.2788
"Kepler-1467",,-0.214,"[Fe/H]",,4.74,,
"GJ 3090",,,,,,,
"Kepler-1029",,,,,4.61,,
"Kepler-1910",0.64,-0.020,"[Fe/H]",,4.63,,2.5877
"Kepler-327",0.50,-0.200,"[Fe/H]",,4.75,,0.8783
"Kepler-355",,,,,4.43,,
"tau Cet",,,,,,,
"Kepler-1231",,-0.048,"[Fe/H]",,4.60,,
"Kepler-306",,,,,,,
"Kepler-319",1.29,,,,4.08,,
"Kepler-1666",1.14,,,,4.44,0.410,
"Kepler-878",0.81,-0.030,"[Fe/H]",,4.58,4.570,
"Kepler-739",,-0.198,"[Fe/H]",,4.70,,
"70 Vir",1.14,-0.060,"[Fe/H]",,3.97,,
"GJ 682",,,,,,,
"Kepler-170",,,,,4.45,,
"Kepler-549",0.85,,,,4.50,8.600,
"Kepler-1849",0.70,,,,4.64,,
"Kepler-1158",1.18,-0.080,"[Fe/H]",,4.26,,1.2997
"Kepler-185",0.81,0.160,"[Fe/H]",,4.54,,3.7003
"Kepler-148",,,,,,,
"Kepler-1109",,,,,,,
"Kepler-1083",0.79,,,,4.65,,
"Kepler-1726",0.92,,,-0.370,4.64,,2.9100
"Kepler-892",,,,,4.65,,
"Kepler-1347",0.76,-0.180,"[Fe/H]",,4.55,,3.0806
"Kepler-1348",,,,,,,
"Kepler-543",0.65,-0.200,"[Fe/H]",,4.61,,1.0252
"GJ 674",,,,,,,
"Kepler-777",0.56,,,,4.73,13.900,
"KOI-351",,,,,,,
"Kepler-925",0.68,-0.060,"[Fe/H]",,4.59,,2.6463
"Kepler-1051",,,,,,,
"Kepler-913",0.95,,,,4.59,,
"Kepler-1852",,0.238,"[Fe/H]",,4.59,,
"Kepler-511",0.94,,,,4.46,,
"WD 1856+534",0.34,,,,,,
"Kepler-1782",0.79,0.000,"[Fe/H]",,4.61,,5.4985
"Kepler-821",0.81,-0.060,"[Fe/H]",,4.56,,2.3567
"HD 25015",,,,,,,
"Kepler-634",,,,,4.37,,
"Kepler-100",1.05,0.100,"[Fe/H]",,4.12,,0.2559
"Kepler-243",0.92,0.210,"[Fe/H]",,4.58,,108.4450
"Kepler-110",,,,,4.07,,
"OGLE-TR-10",1.14,,,0.188,,,
"Kepler-416",,-0.092,"[Fe/H]",,4.37,,
"HD 213472",1.04,0.160,"[M/H]",0.285,4.17,,0.5557
"HD 173416",1.30,,,,,,
"Kepler-428",,,,,4.57,,
"Kepler-1559",,,,,,,
"Kepler-973",0.78,,,,4.51,13.800,
"Kepler-462",1.86,,,,3.90,1.070,
"Kepler-343",,,,,,,
"Kepler-444",,,,,,,
"Kepler-218",,,,,4.40,,
"Kepler-1845",,,,,4.69,,
"Kepler-771",1.05,-0.040,"[Fe/H]",,4.49,,0.7752
"Kepler-1062",0.69,,,-0.682,4.49,,2.0472
"Kepler-1990",1.11,,,,4.42,2.500,
"Kepler-1593",,,,,,,
"Kepler-436",0.75,0.020,"[Fe/H]",,4.62,4.070,
"Kepler-262",,,,,4.55,,
"Kepler-631",1.25,0.340,"[Fe/H]",,4.27,,0.9181
"Kepler-184",,,,,4.53,,
"Kepler-203",1.01,,,,4.52,0.500,
"Kepler-1998",0.87,-0.260,"[Fe/H]",,4.49,,2.6646
"HD 148427",1.41,0.040,"[Fe/H]",0.910,3.50,3.050,
"Kepler-102",0.73,0.020,"[Fe/H]",,4.55,,5.3048
"Kepler-784",,,,,,,
"Kepler-1479",1.05,,,0.145,4.33,,0.9615
"Kepler-1426",1.02,0.030,"[Fe/H]",,4.43,4.070,
"Kepler-937",,,,,,,
"Kepler-1492",0.95,0.480,"[Fe/H]",,3.91,,1.7121
"Kepler-562",,-0.107,"[Fe/H]",,4.54,,
"Kepler-437",0.71,0.000,"[Fe/H]",,4.63,,2.3463
"Kepler-307",0.98,0.160,"[Fe/H]",,4.36,,1.7349
"Kepler-526",,,,,4.33,,
"Kepler-1158",1.15,0.080,"[M/H]",0.840,3.76,,0.1260
"Kepler-1372",1.00,,,,4.54,0.300,
"Kepler-303",,0.102,"[Fe/H]",,4.57,,
"Kepler-55",,,,,,,
"Kepler-1096",0.60,-0.160,"[Fe/H]",,4.67,,6.9589
"Kepler-1186",1.01,,,,4.53,0.300,
"TOI-4184",0.21,,,-2.240,5.00,,21.3008
"51 Peg",,,,,,,
"Kepler-792",,,,,,,
"Kepler-80",,,,,4.67,,
"Kepler-671",,-0.142,"[Fe/H]",,4.64,,
"Kepler-1800",0.96,,,,4.03,,
"Kepler-1995",,0.469,"[Fe/H]",,4.30,,
"Kepler-42",,,,,,,
"Kepler-256",,,,,,,
"Kepler-1129",,,,,,,
"Kepler-833",,,,,,,
"16 Cyg",,,,,,,
"Kepler-1483",1.18,,,0.394,4.23,,0.6408
"Kepler-1739",,,,,,,
"Kepler-1183",0.94,-0.100,"[Fe/H]",,4.53,,1.0409
"Kepler-897",,,,,,,
"Kepler-1405",,,,-0.032,,,
"Kepler-1321",0.59,,,,4.65,,
"Kepler-583",,,,,4.35,,
"Kepler-74",1.18,0.420,"[Fe/H]",,4.44,0.800,1.3000
"Kepler-941",0.99,-0.200,"[Fe/H]",,4.46,,0.1156
"Kepler-535",1.20,0.210,"[Fe/H]",,4.43,,1.7721
"Kepler-1744",0.81,,,,4.53,,
"Kepler-1977",,,,,,,
"Kepler-877",,,,,,,
"HD 1461",,,,,,,
"GJ 849",,,,,,,
"Kepler-224",0.78,-0.270,"[Fe/H]",,4.62,2.290,
"Kepler-430",,-0.297,"[Fe/H]",,4.35,,
"KOI-3503",0.93,-0.800,"[Fe/H]",,4.55,,0.9459
"Kepler-877",,,,,4.51,,
"Kepler-201",,,,,,,
"Kepler-145",1.24,0.120,"[Fe/H]",,4.04,,0.6784
"Kepler-1903",1.05,-0.340,"[Fe/H]",,4.46,,0.6773
"Kepler-1741",,0.146,"[Fe/H]",,4.72,,
"xi Aql",1.11,-0.270,"[Fe/H]",,2.53,,
"Kepler-100",1.11,,,,4.30,4.600,
"Kepler-1276",1.04,-0.060,"[Fe/H]",,4.32,,0.9143
"Kepler-1933",,-0.604,"[Fe/H]",,3.85,,
"HD 143361",,,,,,,
"Kepler-426",0.91,-0.210,"[Fe/H]",-0.089,4.47,6.000,1.1700
"Kepler-990",0.96,-0.240,"[Fe/H]",,4.49,,0.6042
"Kepler-924",,,,,4.46,,
"Kepler-1928",0.99,0.088,"[M/H]",-0.103,4.48,,1.6425
"Kepler-192",0.91,,,,4.59,0.500,
"Kepler-684",,,,,,,
"Kepler-366",,,,,4.50,,
"Kepler-750",,,,,4.43,,
"Kepler-1664",0.94,0.000,"[Fe/H]",,4.35,,13.1661
"Kepler-157",,,,,,,
"Kepler-278",,,,,3.94,,
"Kepler-894",0.87,-0.250,"[Fe/H]",,4.53,4.270,
"Kepler-1337",0.67,-0.160,"[Fe/H]",,4.61,,1.6892
"Kepler-1609",,,,,,,
"Kepler-173",,,,,,,
"HD 96127",,,,,,,
"Kepler-1057",,-0.102,"[Fe/H]",,4.63,,
"Kepler-964",0.93,,,,4.06,12.900,
"Kepler-1273",0.94,,,,4.56,1.000,
"Kepler-25",1.20,-0.010,"[M/H]",0.467,4.18,,0.5226
"Kepler-1667",,-0.089,"[Fe/H]",,4.20,,
"Kepler-708",,,,,4.54,,
"Kepler-1213",,-0.307,"[Fe/H]",,4.44,,
"WASP-187",1.54,0.000,"[Fe/H]",,3.72,2.550,0.0960
"Kepler-267",,,,,4.74,,
"Kepler-299",,,,,,,
"Kepler-153",0.91,,,-0.446,4.69,,3.5477
"Kepler-236",0.55,,,,4.74,13.700,
"Kepler-275",1.20,,,,4.41,0.310,
"HD 181342",1.84,0.260,"[Fe/H]",1.079,3.40,1.800,
"Kepler-616",1.02,,,,4.52,0.400,
"Kepler-239",0.85,0.160,"[Fe/H]",,4.60,,4.3795
"Kepler-10",0.90,-0.150,"[Fe/H]",,4.34,,1.2882
"Kepler-296",0.39,-0.080,"[Fe/H]",,4.87,,11.9174
"Kepler-1218",1.06,-0.112,"[M/H]",0.363,4.13,,0.4681
"CoRoT-8",0.88,0.300,"[M/H]",,4.58,3.000,2.7000
"HD 72659",1.09,,,,,,
"Kepler-324",,,,,4.61,,
"Kepler-1643",,,,,,,
"HD 211970",0.54,,,-1.046,,,
"Kepler-977",,,,-0.483,,,
"Kepler-249",,,,,4.78,,
"Kepler-249",,,,,,,
"Kepler-896",,,,,4.56,,
"Kepler-896",0.89,,,,4.57,2.300,
"HD 154345",0.89,,,,,,
"HD 4313",,,,,,,
"HD 197037",1.06,-0.160,"[Fe/H]",,4.37,3.408,
"Kepler-1670",,,,,4.48,,
"Kepler-67",0.83,,,,4.48,,
"Kepler-947",0.94,,,,4.57,,
"Kepler-1281",0.98,0.070,"[Fe/H]",,4.56,,4.6759
"HD 82943",,,,,,,
"HD 90156",,,,,,,
"HD 28185",,,,,,,
"Kepler-810",,,,,,,
"HD 210702",1.68,,,1.149,,,
"Kepler-302",,,,,,,
"Kepler-1409",0.77,,,,4.53,13.800,
"CoRoT-5",1.00,-0.250,"[M/H]",,4.19,6.900,
"HD 4308",,,,,,,
"CoRoT-25",1.23,,,0.433,4.24,,0.6464
"Kepler-328",,,,,,,
"Kepler-338",,,,,4.02,,
"Kepler-135",1.19,0.020,"[Fe/H]",,4.35,,0.8701
"Kepler-343",,,,,4.40,,
"16 Cyg",0.99,0.090,"[Fe/H]",,4.46,,
"Kepler-629",0.93,0.010,"[Fe/H]",,4.55,1.910,
"Kepler-1071",,-2.551,"[Fe/H]",,4.75,,
"HD 76700",1.00,,,,,11.000,
"Kepler-65",1.27,0.090,"[Fe/H]",,4.24,,0.1125
"Kepler-1696",1.02,,,0.139,4.29,,0.8361
"HD 99492",,,,-0.447,,,
"Kepler-826",,,,,4.59,,
"Kepler-1848",0.76,0.000,"[Fe/H]",,4.58,,10.7214
"CoRoT-8",0.89,,,-0.400,4.58,1.700,2.4400
"Kepler-122",,,,,4.53,,
"Kepler-1470",0.78,0.080,"[Fe/H]",,4.51,,2.6925
"Kepler-1671",,-0.228,"[Fe/H]",,4.48,,
"Kepler-143",,-0.167,"[Fe/H]",,4.39,,
"HD 187123",1.04,,,,,,
"Kepler-1995",,,,,4.47,,
"Kepler-117",,,,,,,
"HD 8574",1.17,0.050,"[Fe/H]",,4.41,,
"Kepler-1751",,,,,4.45,,
"Kepler-1577",0.95,0.280,"[Fe/H]",,3.93,,2.2302
"Kepler-1564",,,,,,,
"Kepler-302",,,,,4.57,,
"Kepler-1693",,,,,,,
"HD 72659",0.95,-0.140,"[Fe/H]",,,,
"Kepler-203",0.97,-0.020,"[Fe/H]",,4.36,,2.2330
"Kepler-700",0.96,,,,4.55,0.900,
"Kepler-833",0.56,-0.200,"[Fe/H]",,4.72,,5.8860
"Kepler-1884",,,,,,,
"Kepler-812",,-0.211,"[Fe/H]",,4.27,,
"XO-4",1.32,-0.040,"[Fe/H]",,,2.100,
"Kepler-581",0.91,-0.120,"[Fe/H]",,4.56,,1.9629
"Kepler-317",0.95,,,,4.46,,
"Kepler-1629",,,,,,,
"Kepler-130",0.96,,,,4.33,7.900,
"Kepler-1563",,,,,,,
"Kepler-1524",,,,,,,
"Kepler-1542",0.87,-0.240,"[Fe/H]",,4.22,,2.4574
"Kepler-27",0.98,,,,,,
"Kepler-1365",1.00,0.115,"[M/H]",0.425,3.98,,0.2848
"Kepler-1388",,,,,,,
"Kepler-676",,,,,,,
"Kepler-1665",,,,,4.56,,
"Kepler-972",,,,,4.38,,
"Kepler-318",1.11,0.160,"[Fe/H]",,4.15,,6.7294
"KOI-1783",,,,,,,
"Kepler-937",1.06,,,,4.36,3.700,
"Kepler-885",,,,,,,
"Kepler-586",,0.391,"[Fe/H]",,4.63,,
"Kepler-241",,,,-0.607,,,
"Kepler-272",,,,,,,
"Kepler-655",,,,,,,
"Kepler-1169",,-0.073,"[Fe/H]",,4.31,,
"Kepler-1852",0.77,,,,4.59,8.600,
"Kepler-61",0.64,0.030,"[Fe/H]",,,1.000,
"Kepler-1784",0.89,0.100,"[Fe/H]",,4.41,,0.1268
"Kepler-757",1.08,0.020,"[Fe/H]",,4.37,3.310,
"Kepler-1501",1.20,-0.020,"[Fe/H]",,4.37,,0.4358
"Kepler-743",,,,,,,
"Kepler-294",,,,,4.53,,
"Kepler-605",,,,,,,
"Kepler-932",0.89,,,-0.322,4.54,,2.1195
"Kepler-114",0.56,-0.200,"[Fe/H]",,4.72,,3.4133
"HD 192263",0.66,0.030,"[Fe/H]",,4.51,,
"Kepler-797",,,,,,,
"Kepler-446",,,,,,,
