pl_name,discoverymethod,disc_year,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_eqt
"OGLE-2016-BLG-1227L b","Microlensing",2020,"1.3 m Warsaw University Telescope",,3.400000,13.900,1.240,250.00000,0.79000,0.512000,
"Kepler-276 c","Transit",2013,"0.95 m Kepler Telescope",31.88400000,0.199400,2.900,0.259,16.60000,0.05200,3.740000,5.63000000000e+02
"Kepler-829 b","Transit",2016,"0.95 m Kepler Telescope",6.88337562,0.067800,2.110,0.188,5.10000,0.01600,2.980000,8.57000000000e+02
"Kepler-477 b","Transit",2016,"0.95 m Kepler Telescope",11.11990653,0.091100,2.070,0.185,4.94000,0.01550,3.060000,6.49000000000e+02
"TOI-1260 c","Transit",2021,"0.1 m TESS Telescope",7.49313400,0.065700,2.760,0.246,13.20000,0.04153,3.450000,6.51000000000e+02
"HD 149143 b","Radial Velocity",2005,"1.93 m Telescope",4.07182000,0.053000,13.600,1.220,422.71390,1.33000,0.923000,
"HD 99492 b","Radial Velocity",2004,"10 m Keck I Telescope",17.05030000,0.120000,5.440,0.486,25.50000,0.08023,0.870000,
"nu Oph c","Radial Velocity",2012,"1.88 m Telescope",3180.60000000,5.829000,12.000,1.070,7838.32346,24.66200,24.900000,
"75 Cet b","Radial Velocity",2012,"1.88 m Telescope",696.62000000,1.912000,13.300,1.180,787.89662,2.47900,1.840000,
"gam Lib b","Radial Velocity",2018,"1.88 m Telescope",414.88000000,1.319000,13.700,1.220,357.87479,1.12600,0.765000,
"HD 113337 c","Radial Velocity",2022,"Multiple Telescopes",5429.93477000,6.805000,12.100,1.080,6299.67686,19.82100,19.500000,
"HD 28109 c","Transit",2022,"0.1 m TESS Telescope",56.00819000,0.308000,4.230,0.377,7.94300,0.02499,0.577000,5.85200000000e+02
"HIP 12961 b","Radial Velocity",2010,"3.6 m ESO Telescope",57.43500000,0.250000,13.200,1.180,114.41880,0.36000,0.273000,
"HD 11755 b","Radial Velocity",2015,"1.8 m Telescope",433.70001000,1.090000,12.800,1.140,1789.38290,5.63000,4.690000,
"HD 29985 b","Radial Velocity",2022,"Multiple Telescopes",20608.14049000,13.390000,12.800,1.140,1739.47487,5.47300,4.560000,
"HD 115954 b","Radial Velocity",2021,"1.93 m Telescope",3700.00000000,5.000000,12.600,1.120,2685.65004,8.45000,7.380000,1.44900000000e+02
"HIP 97233 b","Radial Velocity",2014,"Multiple Telescopes",1062.26506000,2.491000,12.100,1.080,6098.17365,19.18700,18.900000,
"HD 95872 b","Radial Velocity",2015,"Multiple Telescopes",4375.00000000,5.150000,13.000,1.160,1188.68420,3.74000,2.970000,
"OGLE-2015-BLG-0966L b","Microlensing",2016,"1.3 m Warsaw University Telescope",,2.700000,4.860,0.433,21.00000,0.06600,1.010000,
"Kepler-435 b","Transit",2015,"0.95 m Kepler Telescope",8.60015360,0.094800,22.310,1.990,266.97000,0.84000,0.131000,1.72900000000e+03
"Teegarden's Star c","Radial Velocity",2019,"3.5 m telescope",11.41600000,0.045500,1.020,0.091,1.05000,0.00330,5.440000,2.09000000000e+02
"TOI-1470 b","Transit",2023,"0.1 m TESS Telescope",2.52709300,0.028500,2.180,0.194,7.32000,0.02303,3.860000,7.34000000000e+02
"HD 97658 b","Radial Velocity",2010,"10 m Keck I Telescope",9.48971160,0.080500,2.120,0.189,8.30000,0.02611,4.800000,7.51000000000e+02
"LTT 3780 b","Transit",2020,"0.1 m TESS Telescope",0.76837931,0.011950,1.325,0.118,2.46000,0.00774,5.800000,9.03000000000e+02
"TOI-5799 b","Transit",2024,"0.1 m TESS Telescope",4.16475300,0.035200,1.625,0.145,3.27000,0.01030,4.190000,5.18010000000e+02
"TOI-2068 b","Transit",2024,"0.1 m TESS Telescope",7.76891500,0.063200,1.821,0.162,3.97000,0.01250,3.610000,5.20620000000e+02
"TOI-2180 b","Transit",2022,"0.1 m TESS Telescope",260.79000000,0.828000,11.321,1.010,875.61726,2.75500,3.320000,3.48000000000e+02
"TOI-1899 b","Transit",2020,"0.1 m TESS Telescope",29.09031200,0.152500,11.097,0.990,212.94503,0.67000,0.850000,3.78000000000e+02
"HD 22946 d","Transit",2023,"0.1 m TESS Telescope",47.42489000,0.295800,2.607,0.233,26.57000,0.08360,10.800000,5.46000000000e+02
"Qatar-3 b","Transit",2017,"Canon 400mm f/2.8L",2.50792040,0.037830,12.285,1.096,1369.84730,4.31000,4.000000,1.68100000000e+03
"WASP-159 b","Transit",2018,"Canon 200mm f/1.8L",3.84040100,0.053800,15.468,1.380,174.80650,0.55000,0.280000,1.85000000000e+03
"WASP-7 b","Transit",2008,"Canon 200mm f/1.8L",4.95464160,0.061700,14.908,1.330,305.11680,0.96000,0.550000,1.48700000000e+03
"HD 219134 g","Radial Velocity",2015,"Multiple Telescopes",94.20000000,0.375300,3.280,0.293,10.80622,0.03400,1.680000,
"tau Cet e","Radial Velocity",2017,"Multiple Telescopes",162.87000000,0.538000,1.810,0.161,3.93000,0.01237,3.640000,
"K2-322 b","Transit",2020,"0.95 m Kepler Telescope",8.20500000,0.059400,1.920,0.171,4.35000,0.01370,3.380000,6.35000000000e+02
"K2-293 b","Transit",2019,"0.95 m Kepler Telescope",13.12250000,,2.450,0.219,6.57000,0.02070,2.450000,7.50000000000e+02
"K2-214 b","Transit",2018,"0.95 m Kepler Telescope",8.59680200,0.083400,2.430,0.217,6.48000,0.02040,2.480000,1.00600000000e+03
"K2-121 b","Transit",2017,"0.95 m Kepler Telescope",5.18575390,0.062900,7.520,0.671,44.10000,0.13900,0.570000,7.38000000000e+02
"K2-107 b","Transit",2017,"0.95 m Kepler Telescope",3.31395900,0.047500,15.980,1.426,266.97720,0.84000,0.350000,1.64900000000e+03
"K2-252 b","Transit",2018,"0.95 m Kepler Telescope",13.81513000,0.104100,1.740,0.155,3.68000,0.01160,3.840000,6.39000000000e+02
"K2-85 b","Transit",2016,"0.95 m Kepler Telescope",0.68455900,0.013000,1.200,0.107,1.87000,0.00588,5.950000,
"K2-58 b","Transit",2016,"0.95 m Kepler Telescope",7.05254000,0.069200,2.680,0.239,7.65000,0.02410,2.180000,
"K2-229 b","Transit",2018,"0.95 m Kepler Telescope",0.58421600,0.013100,1.000,0.089,2.49000,0.00783,8.900000,1.81800000000e+03
"K2-119 b","Transit",2017,"0.95 m Kepler Telescope",7.72728300,0.069800,2.530,0.226,6.94000,0.02180,2.350000,6.66000000000e+02
"K2-3 d","Transit",2015,"0.95 m Kepler Telescope",44.55603000,0.201400,1.458,0.130,2.20000,0.00692,17.500000,3.05200000000e+02
"K2-192 b","Transit",2018,"0.95 m Kepler Telescope",4.16281700,0.049000,1.520,0.136,2.92000,0.00920,4.570000,9.39000000000e+02
"K2-148 c","Transit",2018,"0.95 m Kepler Telescope",6.92260000,0.061600,1.730,0.154,3.64000,0.01150,3.860000,
"K2-282 b","Transit",2018,"0.95 m Kepler Telescope",4.16978300,0.049900,2.500,0.223,6.80000,0.02140,2.390000,1.05700000000e+03
"K2-244 b","Transit",2018,"0.95 m Kepler Telescope",21.06884000,0.141800,1.750,0.156,3.71000,0.01170,3.800000,6.38000000000e+02
"EPIC 212737443 c","Transit",2019,"0.95 m Kepler Telescope",65.55000000,0.280000,2.690,0.240,7.70000,0.02420,2.170000,3.16000000000e+02
"HD 100777 b","Radial Velocity",2007,"3.6 m ESO Telescope",383.00000000,1.060000,13.700,1.220,390.92894,1.23000,0.835000,
"K2-273 b","Transit",2018,"0.95 m Kepler Telescope",11.71956630,0.072900,3.050,0.272,9.53000,0.03000,1.850000,8.49000000000e+02
"CI Tau c","Radial Velocity",2024,"Multiple Telescopes",25.20000000,0.170000,13.000,1.160,1144.18227,3.60000,2.860000,
"V1298 Tau d","Transit",2019,"0.95 m Kepler Telescope",12.40320000,0.108300,6.410,0.572,98.52681,0.31000,2.400000,8.45000000000e+02
"K2-419 A b","Transit",2024,"0.95 m Kepler Telescope",20.35847252,0.120800,10.550,0.941,196.00000,0.61700,0.916000,3.77000000000e+02
"K2-318 b","Transit",2020,"0.95 m Kepler Telescope",7.01000000,0.091100,1.660,0.148,3.39000,0.01070,4.070000,4.56000000000e+02
"K2-154 b","Transit",2018,"0.95 m Kepler Telescope",3.67626000,0.040500,1.990,0.178,4.62000,0.01450,3.220000,7.15000000000e+02
"K2-172 c","Transit",2018,"0.95 m Kepler Telescope",29.62682000,,3.206,0.286,10.40000,0.03260,1.730000,
"K2-44 b","Transit",2016,"0.95 m Kepler Telescope",5.65700000,0.060000,2.433,0.217,6.50000,0.02040,2.480000,1.21100000000e+03
"K2-99 b","Transit",2016,"0.95 m Kepler Telescope",18.25198500,0.159700,11.730,1.046,308.29510,0.97000,1.050000,1.11300000000e+03
"EPIC 201238110 b","Transit",2019,"0.95 m Kepler Telescope",28.16560000,,1.870,0.167,4.16000,0.01310,3.500000,
"K2-398 c","Transit",2022,"0.95 m Kepler Telescope",18.78783900,,5.098,0.455,22.80000,0.07180,0.946000,
"K2-388 b","Transit",2022,"0.95 m Kepler Telescope",6.33906900,,3.660,0.327,13.00000,0.04090,1.460000,9.22000000000e+02
"K2-158 c","Transit",2018,"0.95 m Kepler Telescope",5.90279000,0.062200,1.280,0.114,2.18000,0.00687,5.710000,9.48000000000e+02
"K2-397 b","Transit",2022,"0.95 m Kepler Telescope",3.57232600,,2.417,0.216,6.42000,0.02020,2.500000,
"K2-403 b","Transit",2022,"0.95 m Kepler Telescope",33.58997900,,5.333,0.476,24.60000,0.07750,0.891000,9.49000000000e+02
"K2-197 b","Transit",2018,"0.95 m Kepler Telescope",8.35788100,0.080600,2.560,0.228,7.08000,0.02230,2.320000,8.48000000000e+02
"K2-153 b","Transit",2018,"0.95 m Kepler Telescope",7.51574000,0.061400,2.000,0.178,4.66000,0.01470,3.200000,4.97000000000e+02
"EPIC 220674823 b","Transit",2016,"0.95 m Kepler Telescope",0.57129200,0.013260,1.725,0.154,8.21000,0.02583,8.770000,2.30000000000e+03
"K2-213 b","Transit",2018,"0.95 m Kepler Telescope",8.13087000,,1.514,0.135,2.90000,0.00913,4.590000,
"HD 103720 b","Radial Velocity",2014,"3.6 m ESO Telescope",4.55570000,0.049800,14.100,1.260,197.04600,0.62000,0.386000,
"K2-223 c","Transit",2018,"0.95 m Kepler Telescope",4.56254600,0.054900,1.500,0.134,2.86000,0.00899,4.660000,1.09100000000e+03
"K2-188 b","Transit",2018,"0.95 m Kepler Telescope",1.74216900,0.028900,1.350,0.120,2.39000,0.00752,5.340000,1.69200000000e+03
"K2-150 b","Transit",2018,"0.95 m Kepler Telescope",10.59357000,0.072700,2.000,0.178,4.66000,0.01470,3.200000,
"K2-110 b","Transit",2017,"0.95 m Kepler Telescope",13.86375000,0.102070,2.592,0.231,15.90000,0.05003,5.020000,6.38000000000e+02
"K2-319 b","Transit",2020,"0.95 m Kepler Telescope",26.68000000,0.151600,2.790,0.249,8.20000,0.02580,2.070000,6.41000000000e+02
"K2-136 d","Transit",2017,"0.95 m Kepler Telescope",25.57500000,0.153800,1.565,0.140,3.00000,0.00944,4.300000,4.20000000000e+02
"K2-32 d","Transit",2016,"0.95 m Kepler Telescope",31.71701000,0.184220,3.484,0.311,6.70000,0.02108,0.870000,5.50000000000e+02
"K2-387 b","Transit",2022,"0.95 m Kepler Telescope",28.73532700,,7.322,0.653,42.20000,0.13300,0.591000,
"K2-72 b","Transit",2016,"0.95 m Kepler Telescope",5.57721200,0.040000,1.080,0.096,1.28000,0.00403,5.580000,
"BD+20 594 b","Transit",2016,"0.95 m Kepler Telescope",41.68550000,0.241000,2.578,0.230,22.24810,0.07000,7.890000,5.46000000000e+02
"K2-74 b","Transit",2016,"0.95 m Kepler Telescope",19.56660000,0.140200,2.310,0.206,5.95000,0.01870,2.650000,
"K2-239 b","Transit",2018,"0.95 m Kepler Telescope",5.24000000,0.044100,1.100,0.098,1.37000,0.00430,5.660000,5.02000000000e+02
"K2-180 b","Transit",2018,"0.95 m Kepler Telescope",8.86565110,0.073400,2.520,0.225,11.44182,0.03600,5.600000,8.02000000000e+02
"K2-122 b","Transit",2017,"0.95 m Kepler Telescope",2.21930230,0.037300,1.160,0.103,1.65000,0.00521,5.810000,7.69000000000e+02
"K2-240 c","Transit",2018,"0.95 m Kepler Telescope",20.52300000,0.115900,1.800,0.161,3.89000,0.01230,3.670000,3.89000000000e+02
"K2-407 c","Transit",2022,"0.95 m Kepler Telescope",9.22453000,,1.360,0.121,2.42000,0.00761,5.290000,
"K2-116 b","Transit",2017,"0.95 m Kepler Telescope",4.65541100,0.048000,0.690,0.062,0.25700,0.00081,4.300000,
"EPIC 201497682 b","Transit",2019,"0.95 m Kepler Telescope",2.13174000,,0.692,0.062,0.26000,0.00082,4.310000,
"K2-348 c","Transit",2018,"0.95 m Kepler Telescope",12.55017100,,2.670,0.238,7.61000,0.02390,2.200000,6.55000000000e+02
"K2-384 d","Transit",2022,"0.95 m Kepler Telescope",6.67958200,,1.392,0.124,2.52000,0.00792,5.130000,
"K2-132 b","Transit",2017,"0.95 m Kepler Telescope",9.17510000,0.091600,14.572,1.300,155.73670,0.49000,0.277000,1.58600000000e+03
"K2-120 b","Transit",2017,"0.95 m Kepler Telescope",9.56274200,0.078000,2.010,0.179,4.70000,0.01480,3.180000,
"K2-208 b","Transit",2018,"0.95 m Kepler Telescope",4.19094800,,1.679,0.150,3.46000,0.01090,4.020000,
"K2-183 d","Transit",2018,"0.95 m Kepler Telescope",22.62034400,0.152700,2.300,0.205,5.90000,0.01860,2.660000,6.15000000000e+02
"EPIC 212297394 c","Transit",2016,"0.95 m Kepler Telescope",5.21396500,,2.270,0.203,5.77000,0.01820,2.710000,8.66000000000e+02
"K2-171 b","Transit",2018,"0.95 m Kepler Telescope",5.62846600,,2.687,0.240,7.69000,0.02420,2.180000,
"HATS-9 b","Transit",2015,"0.18 m Takahashi Epsilon Astrograph",1.91529100,0.031200,13.850,1.236,266.02371,0.83700,0.626000,1.74600000000e+03
"NSVS 14256825 b","Eclipse Timing Variations",2019,"Multiple Telescopes",3225.00000000,3.120000,12.300,1.100,4497.29450,14.15000,13.300000,
"Kepler-1390 b","Transit",2016,"0.95 m Kepler Telescope",6.48021673,0.066200,1.180,0.105,1.76000,0.00553,5.890000,9.34000000000e+02
"Kepler-393 c","Transit",2014,"0.95 m Kepler Telescope",14.61361200,0.124000,1.330,0.119,2.33000,0.00733,5.440000,9.01000000000e+02
"Kepler-263 c","Transit",2014,"0.95 m Kepler Telescope",47.33277300,0.242000,2.470,0.220,6.66000,0.02100,2.430000,3.86000000000e+02
"Kepler-1431 b","Transit",2016,"0.95 m Kepler Telescope",5.86601526,0.064800,1.470,0.131,2.76000,0.00869,4.770000,1.06400000000e+03
"Kepler-237 c","Transit",2014,"0.95 m Kepler Telescope",8.10363600,0.071000,2.080,0.186,4.98000,0.01570,3.040000,6.87000000000e+02
"Kepler-1510 b","Transit",2016,"0.95 m Kepler Telescope",84.70392100,0.408900,3.360,0.300,11.20000,0.03540,1.620000,5.37000000000e+02
"Kepler-169 e","Transit",2014,"0.95 m Kepler Telescope",13.76710200,0.105000,2.200,0.196,5.48000,0.01720,2.830000,5.95000000000e+02
"Kepler-11 f","Transit",2010,"0.95 m Kepler Telescope",46.68880000,0.250000,2.490,0.222,2.00000,0.00600,0.690000,5.13000000000e+02
"Kepler-219 c","Transit",2014,"0.95 m Kepler Telescope",22.71461300,0.165000,3.580,0.319,12.50000,0.03940,1.500000,7.66000000000e+02
"Kepler-910 b","Transit",2016,"0.95 m Kepler Telescope",2.36436901,0.038200,0.820,0.073,0.47700,0.00150,4.750000,1.75200000000e+03
"Kepler-1037 b","Transit",2016,"0.95 m Kepler Telescope",1.06378867,0.019800,1.280,0.114,2.18000,0.00687,5.710000,1.65000000000e+03
"Kepler-992 b","Transit",2016,"0.95 m Kepler Telescope",20.16034462,0.133900,1.620,0.145,3.26000,0.01020,4.210000,5.10000000000e+02
"Kepler-10 c","Transit",2011,"0.95 m Kepler Telescope",45.29430100,0.241000,2.355,0.210,11.40000,0.03587,4.780000,5.78000000000e+02
"Kepler-1097 b","Transit",2016,"0.95 m Kepler Telescope",187.74702900,0.579100,3.260,0.291,10.70000,0.03360,1.700000,2.67000000000e+02
"Kepler-382 b","Transit",2014,"0.95 m Kepler Telescope",5.26215500,0.055000,1.320,0.118,2.30000,0.00724,5.500000,1.16600000000e+03
"Kepler-1310 b","Transit",2016,"0.95 m Kepler Telescope",0.67933627,0.014800,1.440,0.128,2.67000,0.00839,4.910000,1.88300000000e+03
"42 Dra b","Radial Velocity",2008,"2.0 m Alfred Jensch Telescope",479.10000000,1.190000,13.000,1.160,1233.13000,3.88000,3.080000,
"61 Vir c","Radial Velocity",2009,"Multiple Telescopes",38.02100000,0.217500,4.460,0.398,18.20000,0.05700,1.130000,
"LTT 1445 A b","Transit",2019,"0.1 m TESS Telescope",5.35876000,0.022000,1.180,0.105,2.73000,0.00859,7.100000,5.55000000000e+02
"TOI-178 d","Transit",2021,"0.1 m TESS Telescope",6.55770000,0.059200,2.572,0.229,3.01000,0.00947,0.976000,6.90000000000e+02
"Kepler-176 c","Transit",2014,"0.95 m Kepler Telescope",12.75971200,0.102000,2.600,0.232,23.00000,0.07200,7.190000,6.33000000000e+02
"TOI-669 b","Transit",2023,"0.1 m TESS Telescope",3.94515200,0.048000,2.586,0.231,10.00000,0.03146,3.170000,1.12484560586e+03
"70 Vir b","Radial Velocity",1996,"3.0 m C. Donald Shane Telescope",116.68800000,0.481000,12.600,1.130,2380.45000,7.49000,6.540000,
"Kepler-255 c","Transit",2014,"0.95 m Kepler Telescope",9.94604700,0.092000,2.990,0.267,9.22000,0.02900,1.900000,8.07000000000e+02
"K2-290 c","Transit",2019,"0.95 m Kepler Telescope",48.36685000,0.305000,11.276,1.006,246.00042,0.77400,1.010000,6.76000000000e+02
"K2-133 e","Transit",2019,"0.95 m Kepler Telescope",26.58410000,0.134600,1.730,0.154,3.64000,0.01150,3.860000,2.96000000000e+02
"K2-59 c","Transit",2016,"0.95 m Kepler Telescope",11.29540000,0.090500,2.300,0.205,5.90000,0.01860,2.660000,
"K2-206 b","Transit",2018,"0.95 m Kepler Telescope",18.29454900,,2.795,0.249,8.22000,0.02590,2.070000,
"K2-402 b","Transit",2022,"0.95 m Kepler Telescope",17.27474000,,2.678,0.239,7.65000,0.02410,2.190000,
"G 9-40 b","Transit",2019,"0.95 m Kepler Telescope",5.74600700,0.038500,2.025,0.181,11.70000,0.03681,,4.56000000000e+02
"K2-151 b","Transit",2018,"0.95 m Kepler Telescope",3.83547600,0.037300,1.490,0.133,2.83000,0.00889,4.700000,5.66000000000e+02
"K2-264 c","Transit",2018,"0.95 m Kepler Telescope",19.66030200,0.112830,2.668,0.238,7.60000,0.02390,2.200000,3.31000000000e+02
"EPIC 220674823 c","Transit",2016,"0.95 m Kepler Telescope",13.33970000,0.108300,2.836,0.253,8.90000,0.02800,2.120000,8.05000000000e+02
"K2-111 b","Transit",2017,"0.95 m Kepler Telescope",5.35180000,0.056500,1.820,0.162,5.58000,0.01756,5.000000,1.30900000000e+03
"K2-284 b","Transit",2018,"0.95 m Kepler Telescope",4.79506900,0.047710,2.780,0.248,8.15000,0.02560,2.080000,6.53000000000e+02
"K2-15 b","Transit",2015,"0.95 m Kepler Telescope",11.81040000,0.091000,2.480,0.221,6.71000,0.02110,2.420000,6.76000000000e+02
"K2-133 d","Transit",2017,"0.95 m Kepler Telescope",11.02454000,0.074870,2.003,0.179,4.67000,0.01470,3.190000,7.34000000000e+02
"K2-3 b","Transit",2015,"0.95 m Kepler Telescope",10.05465350,0.074700,2.078,0.185,5.11000,0.01608,3.110000,5.01300000000e+02
"K2-165 b","Transit",2018,"0.95 m Kepler Telescope",2.35499200,,1.274,0.114,2.17000,0.00682,5.760000,
"K2-347 b","Transit",2016,"0.95 m Kepler Telescope",7.18725700,,2.410,0.215,6.39000,0.02010,2.510000,6.40000000000e+02
"K2-202 b","Transit",2018,"0.95 m Kepler Telescope",3.40516400,,2.302,0.205,5.91000,0.01860,2.660000,
"K2-87 b","Transit",2016,"0.95 m Kepler Telescope",9.72661800,0.094000,7.600,0.678,44.90000,0.14100,0.562000,9.79000000000e+02
"K2-383 b","Transit",2022,"0.95 m Kepler Telescope",1.86596200,,1.564,0.140,3.07000,0.00965,4.410000,
"K2-138 b","Transit",2017,"0.95 m Kepler Telescope",2.35309000,0.033850,1.510,0.135,3.10000,0.00975,4.900000,1.15700000000e+03
"K2-345 b","Transit",2016,"0.95 m Kepler Telescope",10.36743700,,2.110,0.188,5.10000,0.01600,2.980000,4.37000000000e+02
"K2-59 b","Transit",2016,"0.95 m Kepler Telescope",20.69210000,0.135400,2.410,0.215,6.39000,0.02010,2.510000,
"K2-170 c","Transit",2018,"0.95 m Kepler Telescope",12.40004700,,1.802,0.161,3.90000,0.01230,3.660000,
"HIP 79098 AB b","Imaging",2019,"8.2 m ESO VLT UT3 Melipal Telescope",,345.000000,12.100,1.080,6515.51500,20.50000,20.200000,2.45000000000e+03
"K2-163 b","Transit",2018,"0.95 m Kepler Telescope",6.67311700,,2.466,0.220,6.65000,0.02090,2.440000,
"K2-178 b","Transit",2018,"0.95 m Kepler Telescope",8.74781800,,3.558,0.317,12.40000,0.03900,1.510000,8.40291685816e+02
"K2-136 c","Transit",2017,"0.95 m Kepler Telescope",17.30713000,0.118500,3.000,0.268,18.10000,0.05695,3.690000,4.70000000000e+02
"HD 72490 b","Radial Velocity",2018,"10 m Keck I Telescope",858.00000000,1.880000,13.500,1.200,561.92344,1.76800,1.260000,
"HATS-36 b","Transit",2018,"0.18 m Takahashi Epsilon Astrograph",4.17518600,0.052300,12.920,1.153,1022.14128,3.21600,2.120000,1.20300000000e+03
"K2-194 b","Transit",2018,"0.95 m Kepler Telescope",39.72138600,,3.642,0.325,12.90000,0.04050,1.470000,
"ROXs 12 b","Imaging",2013,"10 m Keck II Telescope",,210.000000,12.200,1.090,5085.00000,16.00000,15.400000,
"K2-63 b","Transit",2016,"0.95 m Kepler Telescope",20.25700000,0.162700,3.220,0.287,10.50000,0.03290,1.730000,
"K2-400 b","Transit",2022,"0.95 m Kepler Telescope",3.86505300,,1.163,0.104,1.67000,0.00525,5.830000,
"K2-50 b","Transit",2016,"0.95 m Kepler Telescope",8.75290000,0.070500,1.590,0.142,3.15000,0.00993,4.310000,
"HATS-12 b","Transit",2016,"0.18 m Takahashi Epsilon Astrograph",3.14270200,0.044100,7.760,0.692,759.61370,2.39000,1.120000,1.44600000000e+03
"K2-42 b","Transit",2016,"0.95 m Kepler Telescope",6.68796000,0.061700,2.150,0.192,5.27000,0.01660,2.910000,
"K2-131 b","Transit",2017,"0.95 m Kepler Telescope",0.36930380,0.009360,1.690,0.151,7.90000,0.02486,8.800000,2.22300000000e+03
"K2-108 b","Transit",2017,"0.95 m Kepler Telescope",4.73399900,0.058100,5.330,0.476,59.40000,0.18689,2.220000,1.36000000000e+03
"K2-316 c","Transit",2020,"0.95 m Kepler Telescope",5.26000000,0.058200,1.830,0.163,4.01000,0.01260,3.600000,4.23000000000e+02
"HD 80653 b","Transit",2020,"0.95 m Kepler Telescope",0.71957300,0.016610,1.613,0.144,5.72000,0.01800,7.470000,2.46300000000e+03
"K2-32 c","Transit",2016,"0.95 m Kepler Telescope",20.66093000,0.138430,3.134,0.280,8.10000,0.02549,1.430000,6.34000000000e+02
"K2-268 d","Transit",2019,"0.95 m Kepler Telescope",4.52859800,,1.490,0.133,2.83000,0.00889,4.700000,8.88000000000e+02
"K2-81 b","Transit",2016,"0.95 m Kepler Telescope",6.10232500,0.059000,1.970,0.176,4.54000,0.01430,3.260000,
"K2-118 b","Transit",2017,"0.95 m Kepler Telescope",50.92092000,0.245000,2.540,0.227,6.99000,0.02200,2.340000,
"K2-8 c","Transit",2016,"0.95 m Kepler Telescope",5.06416000,0.053200,2.410,0.215,6.39000,0.02010,2.510000,8.01000000000e+02
"K2-343 b","Transit",2019,"0.95 m Kepler Telescope",2.78717400,,1.650,0.147,3.36000,0.01060,4.110000,6.53000000000e+02
"K2-212 b","Transit",2018,"0.95 m Kepler Telescope",9.79564700,0.078500,2.650,0.236,7.51000,0.02360,2.220000,5.42000000000e+02
"K2-396 c","Transit",2022,"0.95 m Kepler Telescope",25.76051000,,3.124,0.279,9.93000,0.03120,1.790000,
"K2-219 d","Transit",2018,"0.95 m Kepler Telescope",11.13727800,,2.576,0.230,7.16000,0.02250,2.300000,
"K2-137 b","Transit",2017,"0.95 m Kepler Telescope",0.17971900,0.005800,0.640,0.057,158.91500,0.50000,,1.47100000000e+03
"K2-237 b","Transit",2018,"0.95 m Kepler Telescope",2.18053539,0.035580,16.197,1.445,433.20012,1.36300,0.562000,1.82800000000e+03
"K2-128 b","Transit",2017,"0.95 m Kepler Telescope",5.67581900,0.056000,1.420,0.127,2.60000,0.00819,4.990000,
"K2-223 b","Transit",2018,"0.95 m Kepler Telescope",0.50557000,0.012700,0.890,0.079,0.64000,0.00201,4.990000,2.27100000000e+03
"K2-287 b","Transit",2018,"0.95 m Kepler Telescope",14.89329100,0.120600,9.494,0.847,100.11645,0.31500,0.643000,8.04000000000e+02
"K2-185 b","Transit",2018,"0.95 m Kepler Telescope",10.61638400,,1.150,0.103,1.60000,0.00505,5.780000,8.09000000000e+02
"K2-405 b","Transit",2022,"0.95 m Kepler Telescope",3.43547100,,4.569,0.408,18.90000,0.05960,1.090000,9.69000000000e+02
"K2-84 b","Transit",2016,"0.95 m Kepler Telescope",6.42150000,0.066500,2.410,0.215,6.39000,0.02010,2.510000,
"K2-335 b","Transit",2016,"0.95 m Kepler Telescope",12.28321100,,2.210,0.197,5.52000,0.01740,2.810000,9.49000000000e+02
"K2-384 f","Transit",2022,"0.95 m Kepler Telescope",13.62749000,,2.222,0.198,5.57000,0.01750,2.790000,
"K2-394 b","Transit",2022,"0.95 m Kepler Telescope",5.09571700,,1.692,0.151,3.51000,0.01100,3.980000,6.43000000000e+02
"HD 73344 b","Transit",2024,"0.95 m Kepler Telescope",15.61100000,0.131000,2.884,0.257,10.48000,0.03297,2.451000,9.11000000000e+02
"K2-124 b","Transit",2017,"0.95 m Kepler Telescope",6.41365100,0.049000,2.900,0.259,8.75000,0.02750,1.970000,4.42000000000e+02
"K2-392 b","Transit",2022,"0.95 m Kepler Telescope",15.39872300,,1.850,0.165,4.08000,0.01280,3.540000,
"K2-48 b","Transit",2016,"0.95 m Kepler Telescope",20.50650000,0.134400,2.240,0.200,5.65000,0.01780,2.760000,
"K2-409 b","Transit",2022,"0.95 m Kepler Telescope",1.90808400,,2.482,0.221,6.72000,0.02110,2.420000,
"K2-382 b","Transit",2022,"0.95 m Kepler Telescope",21.70015600,,2.072,0.185,4.95000,0.01560,3.060000,
"K2-200 b","Transit",2018,"0.95 m Kepler Telescope",2.84988300,,1.364,0.122,2.43000,0.00766,5.260000,
"K2-187 c","Transit",2018,"0.95 m Kepler Telescope",2.87151200,0.039200,1.400,0.125,2.54000,0.00800,5.090000,1.17300000000e+03
"WASP-47 d","Transit",2015,"0.95 m Kepler Telescope",9.03050100,0.085000,3.650,0.326,15.50000,0.04877,1.800000,
"K2-219 c","Transit",2018,"0.95 m Kepler Telescope",6.66767000,,1.438,0.128,2.66000,0.00837,4.910000,
"K2-19 c","Transit",2015,"0.95 m Kepler Telescope",11.89930000,0.097100,4.100,0.366,10.80000,0.03398,0.940000,7.45000000000e+02
"K2-243 b","Transit",2018,"0.95 m Kepler Telescope",11.54182000,0.108700,2.170,0.194,5.35000,0.01680,2.880000,1.03500000000e+03
"EPIC 211945201 b","Transit",2018,"0.95 m Kepler Telescope",19.49221000,0.149300,5.760,0.514,27.00000,0.08495,0.650000,8.17000000000e+02
