pl_name,discoverymethod,disc_year,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_eqt
"Kepler-1576 b","Transit",2016,"0.95 m Kepler Telescope",6.98471973,0.072600,1.040,0.093,1.12000,0.00352,5.470000,1.05900000000e+03
"Kepler-1490 b","Transit",2016,"0.95 m Kepler Telescope",92.43629730,0.372900,3.040,0.271,9.48000,0.02980,1.850000,3.48000000000e+02
"Kepler-1512 b","Transit",2016,"0.95 m Kepler Telescope",20.35972599,0.109700,1.180,0.105,1.76000,0.00553,5.890000,3.22000000000e+02
"Kepler-1338 b","Transit",2016,"0.95 m Kepler Telescope",0.93511806,0.019300,0.920,0.082,0.72100,0.00227,5.090000,2.12400000000e+03
"Kepler-1323 b","Transit",2016,"0.95 m Kepler Telescope",0.92990668,0.019100,1.520,0.136,2.92000,0.00920,4.570000,2.29100000000e+03
"Kepler-1498 b","Transit",2016,"0.95 m Kepler Telescope",48.05140500,0.252800,1.330,0.119,2.33000,0.00733,5.440000,5.64000000000e+02
"Kepler-1499 b","Transit",2016,"0.95 m Kepler Telescope",44.20080000,0.219600,1.190,0.106,1.81000,0.00570,5.900000,4.09000000000e+02
"Kepler-133 c","Transit",2014,"0.95 m Kepler Telescope",31.51758600,0.204000,2.840,0.253,8.45000,0.02660,2.030000,6.63000000000e+02
"Kepler-1336 c","Transit",2016,"0.95 m Kepler Telescope",5.77721211,0.063100,1.710,0.153,3.57000,0.01120,3.920000,1.26000000000e+03
"TOI-1820 b","Transit",2022,"0.1 m TESS Telescope",4.86067400,0.061000,12.778,1.140,731.00534,2.30000,2.000000,1.37500000000e+03
"Kepler-1355 b","Transit",2016,"0.95 m Kepler Telescope",1.28958811,0.022400,1.460,0.130,2.73000,0.00859,4.820000,1.44800000000e+03
"Kepler-1370 b","Transit",2016,"0.95 m Kepler Telescope",20.26416840,0.149500,1.840,0.164,4.04000,0.01270,3.560000,7.70000000000e+02
"Kepler-1360 b","Transit",2016,"0.95 m Kepler Telescope",40.52864130,0.286600,3.400,0.303,11.50000,0.03610,1.610000,9.33000000000e+02
"Kepler-1367 b","Transit",2016,"0.95 m Kepler Telescope",1.57409027,0.023600,0.920,0.082,0.72100,0.00227,5.090000,9.98000000000e+02
"Kepler-1381 b","Transit",2016,"0.95 m Kepler Telescope",25.38426860,0.172800,2.250,0.201,5.69000,0.01790,2.740000,6.49000000000e+02
"Kepler-1383 b","Transit",2016,"0.95 m Kepler Telescope",13.90935830,0.117900,1.410,0.126,2.57000,0.00809,5.040000,9.28000000000e+02
"Kepler-1371 c","Transit",2016,"0.95 m Kepler Telescope",2.00541269,0.027400,0.640,0.057,0.19600,0.00062,4.110000,1.21600000000e+03
"Kepler-1373 b","Transit",2016,"0.95 m Kepler Telescope",1.29123275,0.024200,1.160,0.103,1.65000,0.00521,5.810000,1.88700000000e+03
"Kepler-1397 b","Transit",2016,"0.95 m Kepler Telescope",47.44995500,0.260200,1.720,0.153,3.61000,0.01130,3.900000,5.51000000000e+02
"Kepler-1386 b","Transit",2016,"0.95 m Kepler Telescope",6.73972381,0.068000,1.240,0.111,2.07000,0.00651,5.970000,1.01100000000e+03
"Kepler-1406 b","Transit",2016,"0.95 m Kepler Telescope",11.62905828,0.098700,1.100,0.098,1.37000,0.00430,5.660000,8.54000000000e+02
"Kepler-1554 b","Transit",2016,"0.95 m Kepler Telescope",198.08877400,0.631400,2.900,0.259,8.75000,0.02750,1.970000,2.88000000000e+02
"Kepler-1536 b","Transit",2016,"0.95 m Kepler Telescope",364.75803100,0.850700,3.140,0.280,10.00000,0.03150,1.770000,1.66000000000e+02
"Kepler-1420 b","Transit",2016,"0.95 m Kepler Telescope",6.69960006,0.067100,1.280,0.114,2.18000,0.00687,5.710000,8.06000000000e+02
"Kepler-1544 b","Transit",2016,"0.95 m Kepler Telescope",168.81117400,0.542100,1.780,0.159,3.82000,0.01200,3.720000,2.69000000000e+02
"Kepler-1577 b","Transit",2016,"0.95 m Kepler Telescope",6.30560247,0.065700,1.130,0.101,1.51000,0.00474,5.750000,1.12500000000e+03
"Kepler-1410 b","Transit",2016,"0.95 m Kepler Telescope",60.86616800,0.254300,1.780,0.159,3.82000,0.01200,3.720000,2.90000000000e+02
"Kepler-1426 b","Transit",2016,"0.95 m Kepler Telescope",14.25632270,0.118700,1.560,0.139,3.05000,0.00961,4.410000,7.97000000000e+02
"Kepler-1432 b","Transit",2016,"0.95 m Kepler Telescope",23.91090110,0.169600,2.220,0.198,5.56000,0.01750,2.790000,7.09000000000e+02
"Kepler-1436 b","Transit",2016,"0.95 m Kepler Telescope",9.70571600,0.090700,1.310,0.117,2.27000,0.00714,5.550000,1.00100000000e+03
"Kepler-142 b","Transit",2014,"0.95 m Kepler Telescope",2.02415200,0.032000,1.990,0.178,4.62000,0.01450,3.220000,1.59700000000e+03
"Kepler-150 b","Transit",2014,"0.95 m Kepler Telescope",3.42805400,0.044000,1.250,0.112,2.10000,0.00660,5.910000,1.13100000000e+03
"Kepler-1579 b","Transit",2016,"0.95 m Kepler Telescope",0.84990789,0.014000,0.840,0.075,0.52000,0.00164,4.820000,1.13900000000e+03
"Kepler-1507 b","Transit",2016,"0.95 m Kepler Telescope",16.05062130,0.123400,0.840,0.075,0.52000,0.00164,4.820000,6.30000000000e+02
"Kepler-1428 b","Transit",2016,"0.95 m Kepler Telescope",10.67607169,0.105900,1.640,0.146,3.33000,0.01050,4.150000,1.04900000000e+03
"Kepler-1453 b","Transit",2016,"0.95 m Kepler Telescope",47.16116960,0.262000,2.670,0.238,7.61000,0.02390,2.200000,5.03000000000e+02
"Kepler-1001 b","Transit",2016,"0.95 m Kepler Telescope",14.30511983,0.112900,3.150,0.281,10.10000,0.03170,1.780000,6.93000000000e+02
"Kepler-1438 b","Transit",2016,"0.95 m Kepler Telescope",2.31942009,0.034600,0.940,0.084,0.77900,0.00245,5.150000,1.49000000000e+03
"Kepler-1465 b","Transit",2016,"0.95 m Kepler Telescope",31.82771110,0.193900,1.770,0.158,3.78000,0.01190,3.750000,6.68000000000e+02
"Kepler-1469 b","Transit",2016,"0.95 m Kepler Telescope",21.86353010,0.146600,2.800,0.250,8.25000,0.02590,2.070000,5.51000000000e+02
"Kepler-1528 b","Transit",2016,"0.95 m Kepler Telescope",1.79111021,0.029600,1.460,0.130,2.73000,0.00859,4.820000,1.54900000000e+03
"Kepler-1550 b","Transit",2016,"0.95 m Kepler Telescope",225.58280900,0.768100,3.020,0.269,9.38000,0.02950,1.870000,3.48000000000e+02
"Kepler-153 c","Transit",2014,"0.95 m Kepler Telescope",46.90232000,0.237000,2.530,0.226,6.94000,0.02180,2.350000,4.58000000000e+02
"Kepler-1551 b","Transit",2016,"0.95 m Kepler Telescope",24.49736980,0.177200,2.660,0.237,7.56000,0.02380,2.210000,7.22000000000e+02
"Kepler-1479 b","Transit",2016,"0.95 m Kepler Telescope",14.53261362,0.117300,1.830,0.163,4.01000,0.01260,3.600000,7.46000000000e+02
"Kepler-1483 b","Transit",2016,"0.95 m Kepler Telescope",9.50851560,0.095800,1.520,0.136,2.92000,0.00920,4.570000,1.13100000000e+03
"Kepler-1526 b","Transit",2016,"0.95 m Kepler Telescope",3.90863200,0.041800,2.430,0.217,6.48000,0.02040,2.480000,7.87000000000e+02
"Kepler-1442 b","Transit",2016,"0.95 m Kepler Telescope",81.41629410,0.403900,3.930,0.351,14.70000,0.04610,1.330000,5.22000000000e+02
"Kepler-153 b","Transit",2014,"0.95 m Kepler Telescope",18.87022700,0.129000,2.920,0.261,8.85000,0.02790,1.950000,6.21000000000e+02
"Kepler-1494 b","Transit",2016,"0.95 m Kepler Telescope",91.08048200,0.398200,3.070,0.274,9.64000,0.03030,1.830000,4.15000000000e+02
"Kepler-1566 b","Transit",2016,"0.95 m Kepler Telescope",0.53991524,0.012100,0.790,0.070,0.41800,0.00131,4.660000,1.87100000000e+03
"Kepler-1658 b","Transit",2019,"0.95 m Kepler Telescope",3.84937278,0.054400,11.994,1.070,1868.84040,5.88000,6.360000,2.03400000000e+03
"Kepler-188 c","Transit",2014,"0.95 m Kepler Telescope",5.99655300,0.066000,3.190,0.285,10.30000,0.03240,1.740000,1.02500000000e+03
"KMT-2021-BLG-1770L b","Microlensing",2023,"1.6 m wide-field telescope",,0.900000,12.100,1.080,6674.39655,21.00000,20.700000,
